song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
When It´s Love,Junie Oakes,0.554,0.0158,7,-27.169,1,0.0353,0.995,0.883,0.112,0.279,73.762,audio_features,4BLjftEzGWk5hqVdcWbRPM,spotify:track:4BLjftEzGWk5hqVdcWbRPM,https://api.spotify.com/v1/tracks/4BLjftEzGWk5hqVdcWbRPM,https://api.spotify.com/v1/audio-analysis/4BLjftEzGWk5hqVdcWbRPM,162048,3,relax
Lisser,Miran,0.325,0.0615,4,-27.534,1,0.0352,0.984,0.923,0.082,0.312,94.597,audio_features,7JuANIIOksqHRFXgE8tEld,spotify:track:7JuANIIOksqHRFXgE8tEld,https://api.spotify.com/v1/tracks/7JuANIIOksqHRFXgE8tEld,https://api.spotify.com/v1/audio-analysis/7JuANIIOksqHRFXgE8tEld,125042,3,relax
Pines and Cedars,Maya Sarfatto,0.439,0.0237,6,-30.434,1,0.0397,0.994,0.938,0.0969,0.16,113.805,audio_features,4EIbWNNAT3TqvzflNhGKyU,spotify:track:4EIbWNNAT3TqvzflNhGKyU,https://api.spotify.com/v1/tracks/4EIbWNNAT3TqvzflNhGKyU,https://api.spotify.com/v1/audio-analysis/4EIbWNNAT3TqvzflNhGKyU,150898,4,relax
Never Let You Go,Junie Graziano,0.407,0.00358,2,-27.226,1,0.0477,0.995,0.952,0.1,0.289,65.243,audio_features,4p1twb8bM9ZmWE2msuH8E8,spotify:track:4p1twb8bM9ZmWE2msuH8E8,https://api.spotify.com/v1/tracks/4p1twb8bM9ZmWE2msuH8E8,https://api.spotify.com/v1/audio-analysis/4p1twb8bM9ZmWE2msuH8E8,114233,4,relax
Somewhere,Elijah Reeves,0.431,0.0248,8,-24.15,1,0.0354,0.988,0.933,0.107,0.257,81.153,audio_features,1xR0V8wNOmGjNd9L6lo7wM,spotify:track:1xR0V8wNOmGjNd9L6lo7wM,https://api.spotify.com/v1/tracks/1xR0V8wNOmGjNd9L6lo7wM,https://api.spotify.com/v1/audio-analysis/1xR0V8wNOmGjNd9L6lo7wM,185750,4,relax
Light of wintertime,Josephe Burke,0.455,0.0229,5,-25.504,1,0.0356,0.991,0.841,0.103,0.118,76.798,audio_features,3Q1HOPyyOPygEkiF5j8TDL,spotify:track:3Q1HOPyyOPygEkiF5j8TDL,https://api.spotify.com/v1/tracks/3Q1HOPyyOPygEkiF5j8TDL,https://api.spotify.com/v1/audio-analysis/3Q1HOPyyOPygEkiF5j8TDL,131295,3,relax
Nouvelles Tentatives,Zander Shaelyn,0.405,0.0187,10,-29.086,1,0.0372,0.986,0.924,0.107,0.229,75.78,audio_features,6rvmhiAd5jtT5CzLIcnj4p,spotify:track:6rvmhiAd5jtT5CzLIcnj4p,https://api.spotify.com/v1/tracks/6rvmhiAd5jtT5CzLIcnj4p,https://api.spotify.com/v1/audio-analysis/6rvmhiAd5jtT5CzLIcnj4p,120269,1,relax
Candles,Anthony Jacobus,0.448,0.00919,7,-27.355,1,0.0425,0.991,0.952,0.105,0.0953,124.602,audio_features,3c2mI16b5l3zEPNsNdWqSf,spotify:track:3c2mI16b5l3zEPNsNdWqSf,https://api.spotify.com/v1/tracks/3c2mI16b5l3zEPNsNdWqSf,https://api.spotify.com/v1/audio-analysis/3c2mI16b5l3zEPNsNdWqSf,172400,5,relax
Whatever Will Be,Chloe Doyle,0.509,0.00361,0,-29.96,1,0.0479,0.995,0.959,0.0878,0.199,74.787,audio_features,6adM0QgyKfIaCnPos6OXX6,spotify:track:6adM0QgyKfIaCnPos6OXX6,https://api.spotify.com/v1/tracks/6adM0QgyKfIaCnPos6OXX6,https://api.spotify.com/v1/audio-analysis/6adM0QgyKfIaCnPos6OXX6,112803,3,relax
Les Soir,Mes Croquis,0.467,0.0308,3,-25.797,1,0.0412,0.994,0.944,0.107,0.192,67.32,audio_features,0WM2fu4FoREAkHiD25SAOj,spotify:track:0WM2fu4FoREAkHiD25SAOj,https://api.spotify.com/v1/tracks/0WM2fu4FoREAkHiD25SAOj,https://api.spotify.com/v1/audio-analysis/0WM2fu4FoREAkHiD25SAOj,144875,4,relax
