song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Dig Deeper,Dreams Ahead,0.548,0.0525,6,-21.708,0,0.0472,0.86,0.672,0.0865,0.135,73.959,audio_features,41GmT2g8MpZ5F9IKbzVAc8,spotify:track:41GmT2g8MpZ5F9IKbzVAc8,https://api.spotify.com/v1/tracks/41GmT2g8MpZ5F9IKbzVAc8,https://api.spotify.com/v1/audio-analysis/41GmT2g8MpZ5F9IKbzVAc8,139567,4,focus
phosphorescence,Garden Collective,0.454,0.119,11,-21.969,1,0.0305,0.964,0.905,0.11,0.104,75.959,audio_features,2g7oWQYXIurU5x2YtMAC7H,spotify:track:2g7oWQYXIurU5x2YtMAC7H,https://api.spotify.com/v1/tracks/2g7oWQYXIurU5x2YtMAC7H,https://api.spotify.com/v1/audio-analysis/2g7oWQYXIurU5x2YtMAC7H,146496,4,focus
Wheel of Zodiac,Spaced Out Dreams,0.296,0.0604,7,-19.685,1,0.0393,0.971,0.896,0.111,0.15,81.874,audio_features,5Uj3rUYghH7vcKl5IiitWC,spotify:track:5Uj3rUYghH7vcKl5IiitWC,https://api.spotify.com/v1/tracks/5Uj3rUYghH7vcKl5IiitWC,https://api.spotify.com/v1/audio-analysis/5Uj3rUYghH7vcKl5IiitWC,135417,5,focus
daffodils,Tall Towers,0.378,0.0684,8,-19.494,1,0.0413,0.985,0.915,0.107,0.134,77.328,audio_features,1t2lWnGFqsejjpEUIoziKU,spotify:track:1t2lWnGFqsejjpEUIoziKU,https://api.spotify.com/v1/tracks/1t2lWnGFqsejjpEUIoziKU,https://api.spotify.com/v1/audio-analysis/1t2lWnGFqsejjpEUIoziKU,145603,3,focus
Midnight Land,Akustique,0.665,0.12,9,-20.333,0,0.0358,0.925,0.899,0.111,0.147,99.958,audio_features,1bUiyTithUxLGEMZ2RD8US,spotify:track:1bUiyTithUxLGEMZ2RD8US,https://api.spotify.com/v1/tracks/1bUiyTithUxLGEMZ2RD8US,https://api.spotify.com/v1/audio-analysis/1bUiyTithUxLGEMZ2RD8US,141613,4,focus
Fox Mountain,Alderville,0.394,0.0985,5,-22.02,1,0.0338,0.92,0.875,0.142,0.105,139.833,audio_features,7AhQiikvGQzcr2Kpb74fLG,spotify:track:7AhQiikvGQzcr2Kpb74fLG,https://api.spotify.com/v1/tracks/7AhQiikvGQzcr2Kpb74fLG,https://api.spotify.com/v1/audio-analysis/7AhQiikvGQzcr2Kpb74fLG,145286,4,focus
Feathers In The Sky,Agnes Lundh,0.552,0.109,5,-19.68,0,0.0326,0.98,0.944,0.119,0.0847,92.038,audio_features,4Bl2bWpteL5TFmqQ22IQXp,spotify:track:4Bl2bWpteL5TFmqQ22IQXp,https://api.spotify.com/v1/tracks/4Bl2bWpteL5TFmqQ22IQXp,https://api.spotify.com/v1/audio-analysis/4Bl2bWpteL5TFmqQ22IQXp,143579,4,focus
World Above,Echo Ark,0.634,0.306,11,-18.009,0,0.0353,0.981,0.949,0.106,0.279,71.015,audio_features,6lCPEra6l4YkPkXVZeFqeT,spotify:track:6lCPEra6l4YkPkXVZeFqeT,https://api.spotify.com/v1/tracks/6lCPEra6l4YkPkXVZeFqeT,https://api.spotify.com/v1/audio-analysis/6lCPEra6l4YkPkXVZeFqeT,155574,4,focus
Am I Dreaming,Josef Briem,0.632,0.0535,9,-19.569,0,0.0378,0.984,0.909,0.115,0.189,85.004,audio_features,7zVTz5fDa8AfRfGdnXou3m,spotify:track:7zVTz5fDa8AfRfGdnXou3m,https://api.spotify.com/v1/tracks/7zVTz5fDa8AfRfGdnXou3m,https://api.spotify.com/v1/audio-analysis/7zVTz5fDa8AfRfGdnXou3m,162126,4,focus
Second Chances,Spaced Out Dreams,0.354,0.129,0,-18.357,1,0.0356,0.913,0.921,0.0827,0.0762,70.841,audio_features,7IbbjapJhOwteSxyMjWOLB,spotify:track:7IbbjapJhOwteSxyMjWOLB,https://api.spotify.com/v1/tracks/7IbbjapJhOwteSxyMjWOLB,https://api.spotify.com/v1/audio-analysis/7IbbjapJhOwteSxyMjWOLB,160684,4,focus
save the date,Shape Of Our Dreams,0.699,0.0356,2,-20.645,0,0.0432,0.965,0.925,0.113,0.326,97.045,audio_features,0MeFxDLrLaw3n0sSjIXYvn,spotify:track:0MeFxDLrLaw3n0sSjIXYvn,https://api.spotify.com/v1/tracks/0MeFxDLrLaw3n0sSjIXYvn,https://api.spotify.com/v1/audio-analysis/0MeFxDLrLaw3n0sSjIXYvn,164454,4,focus
center of mass,Far & Beyond,0.6,0.0793,2,-20.648,1,0.0372,0.92,0.929,0.117,0.116,89.907,audio_features,6opcJWSYfidSOyn8bQlTlK,spotify:track:6opcJWSYfidSOyn8bQlTlK,https://api.spotify.com/v1/tracks/6opcJWSYfidSOyn8bQlTlK,https://api.spotify.com/v1/audio-analysis/6opcJWSYfidSOyn8bQlTlK,144209,4,focus
lone cowboy,Astronaut In The Desert,0.255,0.00954,2,-27.838,1,0.04,0.99,0.806,0.0992,0.225,71.052,audio_features,5UZdpqf1F4fvDqvGYC2sRt,spotify:track:5UZdpqf1F4fvDqvGYC2sRt,https://api.spotify.com/v1/tracks/5UZdpqf1F4fvDqvGYC2sRt,https://api.spotify.com/v1/audio-analysis/5UZdpqf1F4fvDqvGYC2sRt,155077,4,focus
The Object at Hand,Joy Parade,0.607,0.124,9,-18.633,0,0.0329,0.945,0.839,0.113,0.0805,97.094,audio_features,0sm2PC8NP8L0J2sxPJwKvA,spotify:track:0sm2PC8NP8L0J2sxPJwKvA,https://api.spotify.com/v1/tracks/0sm2PC8NP8L0J2sxPJwKvA,https://api.spotify.com/v1/audio-analysis/0sm2PC8NP8L0J2sxPJwKvA,139212,4,focus
In Due Time,Tall Towers,0.421,0.059,2,-22.33,0,0.0384,0.934,0.888,0.115,0.158,75.984,audio_features,433T7mnFe3pkrTZfnYtq7A,spotify:track:433T7mnFe3pkrTZfnYtq7A,https://api.spotify.com/v1/tracks/433T7mnFe3pkrTZfnYtq7A,https://api.spotify.com/v1/audio-analysis/433T7mnFe3pkrTZfnYtq7A,135599,1,focus
"ready, steady, go",Hers Lake,0.611,0.0622,4,-21.731,0,0.0379,0.95,0.928,0.111,0.0602,73.04,audio_features,4mQEVCbtbQuiOYouVR0fcs,spotify:track:4mQEVCbtbQuiOYouVR0fcs,https://api.spotify.com/v1/tracks/4mQEVCbtbQuiOYouVR0fcs,https://api.spotify.com/v1/audio-analysis/4mQEVCbtbQuiOYouVR0fcs,147558,4,focus
Beginnings,Melvin Barker,0.243,0.0727,3,-22.296,1,0.0297,0.857,0.874,0.107,0.151,81.579,audio_features,2o41jDa4T0QKF9804tqyka,spotify:track:2o41jDa4T0QKF9804tqyka,https://api.spotify.com/v1/tracks/2o41jDa4T0QKF9804tqyka,https://api.spotify.com/v1/audio-analysis/2o41jDa4T0QKF9804tqyka,222992,4,focus
Tidal Waves,Isaak Young,0.597,0.115,7,-18.215,1,0.0373,0.954,0.923,0.11,0.13,97.044,audio_features,3YTZyDywwVOWOXw2d970Dx,spotify:track:3YTZyDywwVOWOXw2d970Dx,https://api.spotify.com/v1/tracks/3YTZyDywwVOWOXw2d970Dx,https://api.spotify.com/v1/audio-analysis/3YTZyDywwVOWOXw2d970Dx,190820,4,focus
Frozen Lakes,Imber Sun,0.426,0.101,7,-18.238,0,0.0367,0.962,0.943,0.109,0.0626,78.734,audio_features,0acEauszFAvCGw9cNF0kZM,spotify:track:0acEauszFAvCGw9cNF0kZM,https://api.spotify.com/v1/tracks/0acEauszFAvCGw9cNF0kZM,https://api.spotify.com/v1/audio-analysis/0acEauszFAvCGw9cNF0kZM,166891,4,focus
Staring into Infinity,Far & Beyond,0.516,0.108,0,-20.004,1,0.042,0.962,0.907,0.11,0.116,76.987,audio_features,0Mjbx4mfOH02A9xmUE3F40,spotify:track:0Mjbx4mfOH02A9xmUE3F40,https://api.spotify.com/v1/tracks/0Mjbx4mfOH02A9xmUE3F40,https://api.spotify.com/v1/audio-analysis/0Mjbx4mfOH02A9xmUE3F40,155225,4,focus
Break Through,Sounds of Ellinia,0.534,0.0458,4,-23.414,0,0.0372,0.99,0.941,0.104,0.0405,129.818,audio_features,02Nyn3a2nHssi9rNg3jkdL,spotify:track:02Nyn3a2nHssi9rNg3jkdL,https://api.spotify.com/v1/tracks/02Nyn3a2nHssi9rNg3jkdL,https://api.spotify.com/v1/audio-analysis/02Nyn3a2nHssi9rNg3jkdL,155077,4,focus
Neon White,Dance Of Centuries,0.311,0.0541,2,-21.289,1,0.0486,0.994,0.926,0.112,0.281,59.549,audio_features,7GuN1Fddm0hCfppgIDUArP,spotify:track:7GuN1Fddm0hCfppgIDUArP,https://api.spotify.com/v1/tracks/7GuN1Fddm0hCfppgIDUArP,https://api.spotify.com/v1/audio-analysis/7GuN1Fddm0hCfppgIDUArP,139072,4,focus
Number Games,Haltura Arnadottir,0.584,0.0374,7,-22.862,1,0.0418,0.969,0.884,0.112,0.173,116.88,audio_features,2ZSCtZBMhLuINrMNF23v2e,spotify:track:2ZSCtZBMhLuINrMNF23v2e,https://api.spotify.com/v1/tracks/2ZSCtZBMhLuINrMNF23v2e,https://api.spotify.com/v1/audio-analysis/2ZSCtZBMhLuINrMNF23v2e,167525,4,focus
remembrance,Dreams Ahead,0.461,0.0611,0,-20.555,1,0.044,0.962,0.93,0.112,0.133,120.815,audio_features,5NFybpngup7caMPSMiJ5ZO,spotify:track:5NFybpngup7caMPSMiJ5ZO,https://api.spotify.com/v1/tracks/5NFybpngup7caMPSMiJ5ZO,https://api.spotify.com/v1/audio-analysis/5NFybpngup7caMPSMiJ5ZO,195122,4,focus
Are You Up,Agnes Lundh,0.597,0.127,5,-17.192,0,0.037,0.991,0.929,0.126,0.135,70.051,audio_features,3xXQCt1vfzNEOndrrNWAZR,spotify:track:3xXQCt1vfzNEOndrrNWAZR,https://api.spotify.com/v1/tracks/3xXQCt1vfzNEOndrrNWAZR,https://api.spotify.com/v1/audio-analysis/3xXQCt1vfzNEOndrrNWAZR,152597,5,focus
