song_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Mood Label
Let You Go,"Diplo, TSHA, Kareen Lomax",0.584,0.955,7,-4.197,0,0.0507,0.101,0.00243,0.092,0.486,128.04,audio_features,0KG7XrgM20KEmJrKsyFDAm,spotify:track:0KG7XrgM20KEmJrKsyFDAm,https://api.spotify.com/v1/tracks/0KG7XrgM20KEmJrKsyFDAm,https://api.spotify.com/v1/audio-analysis/0KG7XrgM20KEmJrKsyFDAm,234375,4,happy
Not Alone,"Don Diablo, Azteck",0.601,0.832,0,-5.471,1,0.139,0.0284,0.0,0.477,0.409,138.061,audio_features,2c0dsTO43eKPOjdNvcgkkj,spotify:track:2c0dsTO43eKPOjdNvcgkkj,https://api.spotify.com/v1/tracks/2c0dsTO43eKPOjdNvcgkkj,https://api.spotify.com/v1/audio-analysis/2c0dsTO43eKPOjdNvcgkkj,160870,4,happy
Pretty People (feat. INJI),"Dillon Francis, INJI",0.774,0.851,0,-6.621,1,0.0438,0.0346,0.03,0.103,0.463,130.023,audio_features,1EdmLWe4HDbrw5CM0bOnxS,spotify:track:1EdmLWe4HDbrw5CM0bOnxS,https://api.spotify.com/v1/tracks/1EdmLWe4HDbrw5CM0bOnxS,https://api.spotify.com/v1/audio-analysis/1EdmLWe4HDbrw5CM0bOnxS,149772,4,happy
Free Yourself,Jessie Ware,0.688,0.91,0,-4.496,0,0.0456,0.00286,1.07e-05,0.129,0.77,119.024,audio_features,1BXAyGazbybUVNQ0VmGsdl,spotify:track:1BXAyGazbybUVNQ0VmGsdl,https://api.spotify.com/v1/tracks/1BXAyGazbybUVNQ0VmGsdl,https://api.spotify.com/v1/audio-analysis/1BXAyGazbybUVNQ0VmGsdl,234493,4,happy
Loved By U,"TOKiMONSTA, morgxn",0.58,0.895,3,-5.224,0,0.0396,0.099,0.0117,0.0911,0.356,116.953,audio_features,1SldN7GTd0ADTjspv96wCl,spotify:track:1SldN7GTd0ADTjspv96wCl,https://api.spotify.com/v1/tracks/1SldN7GTd0ADTjspv96wCl,https://api.spotify.com/v1/audio-analysis/1SldN7GTd0ADTjspv96wCl,207813,4,happy
In My Zone,Tungevaag,0.601,0.711,3,-4.353,0,0.0611,0.0808,0.0,0.113,0.512,127.948,audio_features,3LR2EPyj36gxYgCYbC0au0,spotify:track:3LR2EPyj36gxYgCYbC0au0,https://api.spotify.com/v1/tracks/3LR2EPyj36gxYgCYbC0au0,https://api.spotify.com/v1/audio-analysis/3LR2EPyj36gxYgCYbC0au0,161035,4,happy
Be My One,"Sonny Fodera, KOLIDESCOPES, Hayley May",0.666,0.906,0,-4.938,1,0.0446,0.0196,0.000346,0.0947,0.659,120.94,audio_features,2KN5wY5R4gXbka8wB2kXh8,spotify:track:2KN5wY5R4gXbka8wB2kXh8,https://api.spotify.com/v1/tracks/2KN5wY5R4gXbka8wB2kXh8,https://api.spotify.com/v1/audio-analysis/2KN5wY5R4gXbka8wB2kXh8,142335,4,happy
Good Feeling,"Duvall, Sam Gray",0.693,0.845,9,-3.27,1,0.0348,0.0127,1.84e-06,0.169,0.498,125.009,audio_features,1h4zfNDe8UapUvTuaDsTuM,spotify:track:1h4zfNDe8UapUvTuaDsTuM,https://api.spotify.com/v1/tracks/1h4zfNDe8UapUvTuaDsTuM,https://api.spotify.com/v1/audio-analysis/1h4zfNDe8UapUvTuaDsTuM,169440,4,happy
Good Time,Jodie Harsh,0.72,0.908,0,-3.467,0,0.0745,0.00133,0.00716,0.378,0.916,127.896,audio_features,7quk6gEs1XOu8LOO6iaDZJ,spotify:track:7quk6gEs1XOu8LOO6iaDZJ,https://api.spotify.com/v1/tracks/7quk6gEs1XOu8LOO6iaDZJ,https://api.spotify.com/v1/audio-analysis/7quk6gEs1XOu8LOO6iaDZJ,161069,4,happy
Take Me To The Sunshine (feat. BullySongs),"Matoma, SUPER-Hi, BullySongs",0.686,0.814,6,-6.122,0,0.036,0.00896,0.000196,0.187,0.48,123.002,audio_features,4peF3yGZAZfeOFDahi6Ig5,spotify:track:4peF3yGZAZfeOFDahi6Ig5,https://api.spotify.com/v1/tracks/4peF3yGZAZfeOFDahi6Ig5,https://api.spotify.com/v1/audio-analysis/4peF3yGZAZfeOFDahi6Ig5,177561,4,happy
